Initial Optimized Composition,Rounded Optimized Composition,Rounded Optimized Tc,Initial Optimized Tc,Rounded Optimized Ef,Initial Optimized Ef,structure_atom_count
N_{46.0484} P_{46.00573} La_{26.94282} Eu_{21.00304} ,N_{46.0} P_{46.0} La_{27.0} Eu_{21.0} ,24.149855,24.204945,-3.2808995,-3.2815635,140.0
B_{46.15587} Si_{13.90939} Ca_{12.03075} Nb_{15.28456} La_{15.10312} Pr_{28.84845} Pt_{43.66783} ,B_{46.0} Si_{14.0} Ca_{12.0} Nb_{15.0} La_{15.0} Pr_{29.0} Pt_{44.0} ,23.57015,24.199013,-0.8673354,-0.86486,175.0
C_{41.07172} N_{28.86135} Sr_{9.908294} La_{47.18586} Pt_{34.97276} ,C_{41.0} N_{29.0} Sr_{10.0} La_{47.0} Pt_{35.0} ,24.042255,24.17763,-1.6228588,-1.6222509,162.0
B_{49.98172} C_{11.96980} Mg_{15.02568} La_{35.03269} Gd_{16.98611} W_{12.96714} Pt_{25.01597} Rn_{30.02084} ,B_{50.0} C_{12.0} Mg_{15.0} La_{35.0} Gd_{17.0} W_{13.0} Pt_{25.0} Rn_{30.0} ,24.123896,24.15633,-0.9009,-0.90008587,197.0
N_{74.13328} P_{16.10785} La_{33.94366} Pr_{14.91941} Hg_{20.89579} ,N_{74.0} P_{16.0} La_{34.0} Pr_{15.0} Hg_{21.0} ,24.196615,24.155981,-2.9807506,-2.984453,160.0
H_{7.99113} B_{46.99289} La_{17.00431} Sm_{6.074121} Ho_{21.99149} W_{15.98906} Pt_{29.95697} ,H_{8.0} B_{47.0} La_{17.0} Sm_{6.0} Ho_{22.0} W_{16.0} Pt_{30.0} ,24.096119,24.154604,-0.67665416,-0.67728895,146.0
B_{39.95653} C_{32.00822} V_{16.05636} Mo_{16.02140} Xe_{16.02810} La_{47.95513} Pt_{30.97423} ,B_{40.0} C_{32.0} V_{16.0} Mo_{16.0} Xe_{16.0} La_{48.0} Pt_{31.0} ,24.102509,24.147785,-0.9764338,-0.9753629,199.0
B_{17.97557} N_{40.01531} La_{39.04168} Nd_{16.95559} Sm_{8.954355} Gd_{33.02137} Tm_{15.98493} Pt_{25.05117} ,B_{18.0} N_{40.0} La_{39.0} Nd_{17.0} Sm_{9.0} Gd_{33.0} Tm_{16.0} Pt_{25.0} ,24.127113,24.14551,-1.765314,-1.767624,197.0
B_{42.03216} C_{41.01901} Cl_{17.97646} Pd_{25.98341} La_{28.98839} W_{30.00055} ,B_{42.0} C_{41.0} Cl_{18.0} Pd_{26.0} La_{29.0} W_{30.0} ,24.131666,24.138638,-0.8062561,-0.806274,186.0
B_{31.94698} C_{29.98766} O_{8.97125} Sn_{25.02467} La_{20.04939} Tb_{16.00821} Re_{14.01181} ,B_{32.0} C_{30.0} O_{9.0} Sn_{25.0} La_{20.0} Tb_{16.0} Re_{14.0} ,24.069689,24.13671,-1.484589,-1.4860235,146.0
C_{97.0571} Rb_{18.07859} La_{26.97960} Tm_{32.88469} ,C_{97.0} Rb_{18.0} La_{27.0} Tm_{33.0} ,24.12059,24.123137,-1.5662163,-1.5642567,175.0
B_{47.93658} Sr_{25.04124} Cd_{12.06297} Sn_{19.97765} La_{8.994401} Nd_{26.02978} Eu_{23.98748} Pt_{24.96989} ,B_{48.0} Sr_{25.0} Cd_{12.0} Sn_{20.0} La_{9.0} Nd_{26.0} Eu_{24.0} Pt_{25.0} ,24.100494,24.116941,-0.9774906,-0.97693837,189.0
H_{21.96135} B_{18.06036} C_{26.02421} Cr_{19.94691} Y_{0.994079} La_{39.03759} Gd_{22.00792} Pt_{35.96756} ,H_{22.0} B_{18.0} C_{26.0} Cr_{20.0} Y_{1.0} La_{39.0} Gd_{22.0} Pt_{36.0} ,24.029861,24.08904,-0.93077946,-0.93184817,184.0
Be_{10.11376} B_{24.07065} C_{13.99135} Xe_{25.01670} La_{43.95139} Dy_{3.847679} Yb_{7.008282} Pt_{39.00016} ,Be_{10.0} B_{24.0} C_{14.0} Xe_{25.0} La_{44.0} Dy_{4.0} Yb_{7.0} Pt_{39.0} ,23.689133,24.083769,-0.75527674,-0.7550847,167.0
B_{21.01954} C_{15.03440} N_{23.03758} O_{10.02244} Sr_{24.99471} Nd_{31.95302} Pt_{37.93829} ,B_{21.0} C_{15.0} N_{23.0} O_{10.0} Sr_{25.0} Nd_{32.0} Pt_{38.0} ,24.007006,24.076647,-1.7058893,-1.7063606,164.0
B_{20.99469} C_{21.02864} N_{20.04467} Ba_{6.893883} La_{49.05752} Pt_{38.98936} Pb_{22.99123} ,B_{21.0} C_{21.0} N_{20.0} Ba_{7.0} La_{49.0} Pt_{39.0} Pb_{23.0} ,23.96372,24.0687,-1.7621319,-1.7635838,180.0
B_{38.14003} C_{25.97576} Fe_{26.89399} La_{25.96432} Pr_{13.01980} Gd_{11.02637} Bi_{21.97969} ,B_{38.0} C_{26.0} Fe_{27.0} La_{26.0} Pr_{13.0} Gd_{11.0} Bi_{22.0} ,23.85261,24.06826,-0.8447737,-0.84837115,163.0
He_{1.085343} C_{41.85039} Rb_{18.14618} Tc_{22.86980} La_{32.08397} Ir_{18.99059} Pt_{4.973702} ,He_{1.0} C_{42.0} Rb_{18.0} Tc_{23.0} La_{32.0} Ir_{19.0} Pt_{5.0} ,23.84553,24.060642,-1.0500509,-1.053071,140.0
C_{20.97276} O_{48.03338} Cl_{27.03201} Ga_{27.96558} Cs_{5.072858} La_{24.93244} Tm_{30.95185} Bi_{7.03911} ,C_{21.0} O_{48.0} Cl_{27.0} Ga_{28.0} Cs_{5.0} La_{25.0} Tm_{31.0} Bi_{7.0} ,23.934126,24.0405,-2.1525667,-2.1505954,192.0
B_{22.91816} C_{28.99387} O_{21.02887} Mg_{17.01762} La_{39.08649} Ce_{9.970791} Tb_{5.030536} Pt_{32.95365} ,B_{23.0} C_{29.0} O_{21.0} Mg_{17.0} La_{39.0} Ce_{10.0} Tb_{5.0} Pt_{33.0} ,23.91922,24.038954,-1.724196,-1.725973,177.0
B_{15.20515} C_{96.00999} K_{52.98940} Rb_{6.856544} Er_{11.93890} ,B_{15.0} C_{96.0} K_{53.0} Rb_{7.0} Er_{12.0} ,24.016264,24.034275,-1.5388882,-1.5363424,183.0
B_{33.99974} C_{25.01648} V_{16.03803} Mo_{8.956493} La_{43.01143} Pt_{47.97781} ,B_{34.0} C_{25.0} V_{16.0} Mo_{9.0} La_{43.0} Pt_{48.0} ,23.992437,24.011208,-0.6725326,-0.67238647,175.0
B_{67.92271} Zr_{23.00585} Cs_{9.057736} La_{43.00280} Eu_{28.02430} Pt_{25.98659} ,B_{68.0} Zr_{23.0} Cs_{9.0} La_{43.0} Eu_{28.0} Pt_{26.0} ,24.017775,24.001368,-0.61568713,-0.6164366,197.0
B_{45.12187} Mg_{11.95742} Ti_{11.98257} La_{30.98230} Ho_{21.04513} Ir_{2.155698} Pt_{37.92708} Au_{28.82792} ,B_{45.0} Mg_{12.0} Ti_{12.0} La_{31.0} Ho_{21.0} Ir_{2.0} Pt_{38.0} Au_{29.0} ,24.078194,23.997831,-0.34833053,-0.35038626,190.0
H_{28.00251} C_{16.98919} Cu_{56.89917} La_{28.95798} Pm_{12.04474} Eu_{7.020331} Er_{45.08607} ,H_{28.0} C_{17.0} Cu_{57.0} La_{29.0} Pm_{12.0} Eu_{7.0} Er_{45.0} ,23.83,23.948246,-1.3515834,-1.3521758,195.0
O_{40.96473} Co_{10.99662} Cu_{36.00700} Ba_{13.90743} La_{41.09046} Ce_{17.04883} Pt_{29.98489} ,O_{41.0} Co_{11.0} Cu_{36.0} Ba_{14.0} La_{41.0} Ce_{17.0} Pt_{30.0} ,23.861668,23.947779,-1.9701842,-1.9702018,190.0
B_{22.86356} C_{33.08378} Cr_{21.86954} La_{33.07989} Eu_{27.14064} Pt_{37.96258} ,B_{23.0} C_{33.0} Cr_{22.0} La_{33.0} Eu_{27.0} Pt_{38.0} ,23.809614,23.922464,-0.92973626,-0.9332682,176.0
H_{20.99182} Ni_{9.002798} Ge_{5.971941} I_{15.96819} Cs_{14.00651} La_{24.01530} Pb_{19.04407} Bi_{29.99934} ,H_{21.0} Ni_{9.0} Ge_{6.0} I_{16.0} Cs_{14.0} La_{24.0} Pb_{19.0} Bi_{30.0} ,23.877096,23.92052,0.9064462,0.90638125,139.0
O_{28.00544} Ca_{18.98773} Ga_{17.99323} Rb_{2.993464} Sn_{6.018832} Pt_{34.00128} ,O_{28.0} Ca_{19.0} Ga_{18.0} Rb_{3.0} Sn_{6.0} Pt_{34.0} ,23.90535,23.91751,-1.6600718,-1.6601111,108.0
B_{19.04564} P_{29.03384} Sn_{23.97615} Cs_{23.03365} Ce_{16.93952} Nd_{26.96297} Ho_{16.99796} Pt_{32.01024} ,B_{19.0} P_{29.0} Sn_{24.0} Cs_{23.0} Ce_{17.0} Nd_{27.0} Ho_{17.0} Pt_{32.0} ,23.85216,23.913092,-1.7527027,-1.7539613,188.0
B_{48.95700} C_{10.05764} O_{34.93259} La_{26.05265} Nd_{19.07429} Dy_{15.96902} Pt_{24.01908} Pb_{16.93771} ,B_{49.0} C_{10.0} O_{35.0} La_{26.0} Nd_{19.0} Dy_{16.0} Pt_{24.0} Pb_{17.0} ,23.89401,23.909578,-1.9719447,-1.9714588,196.0
He_{17.01885} C_{14.06980} Zn_{8.982706} Ge_{35.00574} Sn_{14.91684} Te_{33.00175} La_{19.90767} Pt_{42.09664} ,He_{17.0} C_{14.0} Zn_{9.0} Ge_{35.0} Sn_{15.0} Te_{33.0} La_{20.0} Pt_{42.0} ,23.751385,23.904913,-1.2456988,-1.2433926,185.0
Li_{24.94207} B_{53.03449} O_{11.05331} Xe_{53.02213} La_{18.06748} Dy_{10.98401} Yb_{2.915328} Pt_{24.98114} ,Li_{25.0} B_{53.0} O_{11.0} Xe_{53.0} La_{18.0} Dy_{11.0} Yb_{3.0} Pt_{25.0} ,23.789886,23.898268,-1.0692143,-1.0718323,199.0
H_{38.00868} B_{32.96410} Si_{3.026784} Pd_{7.976185} Cs_{21.03592} La_{24.04164} Er_{18.00233} Pt_{29.94434} ,H_{38.0} B_{33.0} Si_{3.0} Pd_{8.0} Cs_{21.0} La_{24.0} Er_{18.0} Pt_{30.0} ,23.864956,23.895485,-0.9087239,-0.9113135,175.0
Li_{30.13078} B_{44.85232} Cl_{44.96523} Tc_{34.92624} Gd_{24.08341} Ho_{5.051926} Pt_{13.99007} ,Li_{30.0} B_{45.0} Cl_{45.0} Tc_{35.0} Gd_{24.0} Ho_{5.0} Pt_{14.0} ,23.527704,23.890545,-0.23642427,-0.23294514,198.0
B_{110.7828} C_{10.01529} Cs_{5.166126} La_{48.04355} Pr_{16.99217} ,B_{111.0} C_{10.0} Cs_{5.0} La_{48.0} Pr_{17.0} ,23.879375,23.883251,-0.40235367,-0.4049157,191.0
B_{23.00919} C_{48.085} Sc_{9.969294} La_{11.97083} Pt_{25.96567} ,B_{23.0} C_{48.0} Sc_{10.0} La_{12.0} Pt_{26.0} ,23.846199,23.879173,-0.36107653,-0.36012286,119.0
C_{17.02857} N_{37.06947} Al_{1.891378} Ce_{26.90924} Nd_{16.95710} Tb_{23.12660} Pt_{45.94148} Tl_{19.07614} ,C_{17.0} N_{37.0} Al_{2.0} Ce_{27.0} Nd_{17.0} Tb_{23.0} Pt_{46.0} Tl_{19.0} ,23.816652,23.84696,-2.011336,-2.0125606,188.0
Li_{14.98141} B_{40.00018} Sc_{12.07780} Xe_{9.98823} La_{31.98774} Pm_{15.99617} Pt_{28.96844} ,Li_{15.0} B_{40.0} Sc_{12.0} Xe_{10.0} La_{32.0} Pm_{16.0} Pt_{29.0} ,23.782377,23.83871,-0.47187722,-0.47158256,154.0
B_{47.04654} Sn_{5.010933} La_{26.99721} Eu_{22.04170} Er_{12.86761} Yb_{8.045169} Pt_{41.99083} ,B_{47.0} Sn_{5.0} La_{27.0} Eu_{22.0} Er_{13.0} Yb_{8.0} Pt_{42.0} ,23.682259,23.834478,-0.7655388,-0.7653137,164.0
C_{15.01856} Ne_{27.99508} Cd_{47.99651} La_{22.00207} Pr_{17.00312} Er_{19.96809} Pt_{23.01655} ,C_{15.0} Ne_{28.0} Cd_{48.0} La_{22.0} Pr_{17.0} Er_{20.0} Pt_{23.0} ,23.823782,23.833857,-0.8986287,-0.8988469,173.0
Li_{20.08649} B_{41.11659} Mg_{16.04090} Ni_{4.870762} Y_{7.010022} La_{48.99292} Pt_{30.00075} Au_{20.88154} ,Li_{20.0} B_{41.0} Mg_{16.0} Ni_{5.0} Y_{7.0} La_{49.0} Pt_{30.0} Au_{21.0} ,23.547682,23.816877,-0.25139102,-0.25298464,189.0
B_{23.04151} C_{51.02031} N_{4.047002} O_{23.97806} K_{16.01336} Pr_{9.935698} Tm_{23.95399} Pt_{39.01003} ,B_{23.0} C_{51.0} N_{4.0} O_{24.0} K_{16.0} Pr_{10.0} Tm_{24.0} Pt_{39.0} ,23.721933,23.816694,-1.5475961,-1.5461947,191.0
B_{22.98177} Ge_{17.03584} Cs_{27.00728} Ba_{28.05202} Dy_{41.95493} Re_{35.96813} ,B_{23.0} Ge_{17.0} Cs_{27.0} Ba_{28.0} Dy_{42.0} Re_{36.0} ,23.732107,23.787676,-1.6384475,-1.6377208,173.0
B_{27.95136} F_{1.947642} Co_{13.96742} Y_{20.9694} Tc_{9.079189} Ag_{15.95763} W_{17.02566} Re_{41.10168} ,B_{28.0} F_{2.0} Co_{14.0} Y_{21.0} Tc_{9.0} Ag_{16.0} W_{17.0} Re_{41.0} ,23.723751,23.780565,-0.05044262,-0.05018813,148.0
B_{23.03282} C_{75.91097} La_{30.02081} Yb_{23.03439} Pt_{34.00100} ,B_{23.0} C_{76.0} La_{30.0} Yb_{23.0} Pt_{34.0} ,23.781284,23.774813,-0.97935927,-0.97937673,186.0
B_{29.01099} Ga_{17.97456} Nb_{12.98244} La_{33.94948} Nd_{15.98059} Ho_{12.10202} Pt_{44.01384} Pb_{28.98604} ,B_{29.0} Ga_{18.0} Nb_{13.0} La_{34.0} Nd_{16.0} Ho_{12.0} Pt_{44.0} Pb_{29.0} ,23.695532,23.765776,-1.2687461,-1.2678593,195.0
B_{18.06867} S_{12.0194} Pd_{34.93738} La_{41.98642} Ce_{6.960864} Gd_{17.10283} Er_{18.01308} Pt_{34.91134} ,B_{18.0} S_{12.0} Pd_{35.0} La_{42.0} Ce_{7.0} Gd_{17.0} Er_{18.0} Pt_{35.0} ,23.589985,23.763134,-0.67836386,-0.68077195,184.0
B_{29.94081} C_{19.81256} Si_{22.09927} K_{8.985895} Cr_{18.16998} La_{34.99759} Pt_{17.99387} ,B_{30.0} C_{20.0} Si_{22.0} K_{9.0} Cr_{18.0} La_{35.0} Pt_{18.0} ,23.719847,23.754133,-1.1977361,-1.1969613,152.0
H_{30.92131} B_{12.96600} N_{43.92435} In_{36.02554} Os_{25.08961} Tl_{23.07317} ,H_{31.0} B_{13.0} N_{44.0} In_{36.0} Os_{25.0} Tl_{23.0} ,23.555456,23.753244,-1.424345,-1.4253372,172.0
B_{22.00232} C_{29.98286} K_{5.954302} La_{22.05147} Tm_{30.99016} Pt_{45.01888} ,B_{22.0} C_{30.0} K_{6.0} La_{22.0} Tm_{31.0} Pt_{45.0} ,23.671127,23.747309,-0.91425705,-0.9146392,156.0
B_{29.86364} C_{64.12527} La_{16.17240} Eu_{7.056524} Er_{3.769078} Pt_{40.01307} ,B_{30.0} C_{64.0} La_{16.0} Eu_{7.0} Er_{4.0} Pt_{40.0} ,23.545332,23.742449,-0.5691755,-0.56760615,161.0
Li_{29.97412} B_{32.06965} Mg_{15.98245} Ti_{2.956801} Ge_{44.00549} La_{21.95942} Ho_{14.00065} Pt_{37.05141} ,Li_{30.0} B_{32.0} Mg_{16.0} Ti_{3.0} Ge_{44.0} La_{22.0} Ho_{14.0} Pt_{37.0} ,23.681496,23.732655,-0.7964537,-0.7965916,198.0
B_{111.8799} Fe_{26.97412} La_{27.11418} Tb_{21.03171} ,B_{112.0} Fe_{27.0} La_{27.0} Tb_{21.0} ,23.644659,23.699825,-0.28892574,-0.29077807,187.0
B_{14.91483} C_{62.99942} Mn_{11.87686} Xe_{37.14293} La_{32.14368} Dy_{0.922248} ,B_{15.0} C_{63.0} Mn_{12.0} Xe_{37.0} La_{32.0} Dy_{1.0} ,23.550816,23.688044,-1.3997934,-1.4000814,160.0
B_{23.07673} C_{83.92248} La_{28.94498} Tm_{17.95016} Pt_{15.10563} ,B_{23.0} C_{84.0} La_{29.0} Tm_{18.0} Pt_{15.0} ,23.607979,23.679409,-1.2223979,-1.2210511,169.0
P_{111.9783} Ni_{15.08935} Ba_{24.97269} La_{14.95964} ,P_{112.0} Ni_{15.0} Ba_{25.0} La_{15.0} ,23.617418,23.678387,-2.4395008,-2.4379692,167.0
B_{27.94994} C_{27.96871} Mn_{10.07644} Mo_{9.983074} La_{46.99793} Nd_{13.99093} Er_{1.057342} Pt_{40.97561} ,B_{28.0} C_{28.0} Mn_{10.0} Mo_{10.0} La_{47.0} Nd_{14.0} Er_{1.0} Pt_{41.0} ,23.599442,23.662191,-1.002948,-1.0025767,179.0
B_{40.09901} C_{4.077232} O_{23.87458} Ga_{15.15415} Xe_{23.92775} La_{25.99641} Dy_{18.98521} Pt_{26.88563} ,B_{40.0} C_{4.0} O_{24.0} Ga_{15.0} Xe_{24.0} La_{26.0} Dy_{19.0} Pt_{27.0} ,23.632484,23.649916,-1.8971193,-1.8965559,179.0
B_{33.02738} C_{13.96843} Ar_{13.98262} Ge_{26.01466} La_{25.96749} Yb_{28.06599} Pt_{32.97342} ,B_{33.0} C_{14.0} Ar_{14.0} Ge_{26.0} La_{26.0} Yb_{28.0} Pt_{33.0} ,23.559994,23.61801,-1.1239821,-1.122924,174.0
B_{51.95754} K_{24.11866} Co_{27.13266} Ge_{24.16195} Mo_{9.914269} La_{15.60711} Pm_{20.01092} Yb_{14.09688} ,B_{52.0} K_{24.0} Co_{27.0} Ge_{24.0} Mo_{10.0} La_{16.0} Pm_{20.0} Yb_{14.0} ,23.525263,23.600697,-0.8713681,-0.8662165,187.0
B_{19.97984} N_{26.98687} Mo_{25.11688} Xe_{34.99181} La_{40.02243} Hf_{4.941507} Pt_{34.96064} ,B_{20.0} N_{27.0} Mo_{25.0} Xe_{35.0} La_{40.0} Hf_{5.0} Pt_{35.0} ,23.464771,23.565119,-1.7390462,-1.7399782,187.0
B_{49.00928} C_{62.06745} Mg_{13.91182} La_{21.01006} Tb_{14.01764} Os_{34.98373} ,B_{49.0} C_{62.0} Mg_{14.0} La_{21.0} Tb_{14.0} Os_{35.0} ,23.501104,23.56453,-0.7326841,-0.7331569,195.0
B_{32.94823} C_{76.94043} O_{15.05739} La_{23.03093} Gd_{2.991964} Pt_{42.03105} ,B_{33.0} C_{77.0} O_{15.0} La_{23.0} Gd_{3.0} Pt_{42.0} ,23.56149,23.563076,-0.8334342,-0.83594275,193.0
B_{7.995527} N_{16.99768} Sb_{10.00981} I_{14.99682} Cs_{8.008563} La_{23.99448} Pt_{24.99709} ,B_{8.0} N_{17.0} Sb_{10.0} I_{15.0} Cs_{8.0} La_{24.0} Pt_{25.0} ,23.55138,23.55711,-1.7244247,-1.7243441,107.0
O_{44.89561} Ni_{18.04285} Sr_{41.03298} La_{11.27527} Pt_{56.75327} ,O_{45.0} Ni_{18.0} Sr_{41.0} La_{11.0} Pt_{57.0} ,23.57076,23.553902,-1.2836592,-1.2857236,172.0
Ga_{23.02115} As_{37.03291} La_{36.93383} Eu_{5.958224} Lu_{18.02636} Pt_{27.99117} Tl_{23.03633} ,Ga_{23.0} As_{37.0} La_{37.0} Eu_{6.0} Lu_{18.0} Pt_{28.0} Tl_{23.0} ,23.475248,23.539581,-0.9049545,-0.90488905,172.0
B_{27.01136} Sr_{6.914417} Mo_{32.99479} La_{48.06467} Pt_{37.03721} Tl_{26.97754} ,B_{27.0} Sr_{7.0} Mo_{33.0} La_{48.0} Pt_{37.0} Tl_{27.0} ,23.44738,23.539001,-0.8736083,-0.8748379,179.0
H_{21.98379} S_{13.00916} Ge_{15.99809} Zr_{32.00122} Sn_{12.97717} La_{38.00231} Nd_{11.05908} Pt_{36.96915} ,H_{22.0} S_{13.0} Ge_{16.0} Zr_{32.0} Sn_{13.0} La_{38.0} Nd_{11.0} Pt_{37.0} ,23.478252,23.512894,-0.87103486,-0.8708927,182.0
B_{55.95696} Y_{22.00803} Pd_{79.035} ,B_{56.0} Y_{22.0} Pd_{79.0} ,23.497576,23.49513,0.30121797,0.3010807,157.0
H_{41.02667} B_{21.96215} P_{9.034611} Zr_{20.04264} Sn_{30.97910} Te_{20.92808} La_{40.98021} Pt_{12.04652} ,H_{41.0} B_{22.0} P_{9.0} Zr_{20.0} Sn_{31.0} Te_{21.0} La_{41.0} Pt_{12.0} ,23.426361,23.491432,-1.1151752,-1.1151384,197.0
Be_{7.027528} B_{16.03181} C_{18.04267} N_{27.06531} Ne_{10.02010} K_{14.92837} La_{37.92893} Pt_{38.95526} ,Be_{7.0} B_{16.0} C_{18.0} N_{27.0} Ne_{10.0} K_{15.0} La_{38.0} Pt_{39.0} ,23.407867,23.466402,-1.5417122,-1.5408567,170.0
B_{49.00144} Cu_{22.01046} Cs_{37.89021} Gd_{27.92906} Yb_{16.10042} Pt_{40.06839} ,B_{49.0} Cu_{22.0} Cs_{38.0} Gd_{28.0} Yb_{16.0} Pt_{40.0} ,23.296295,23.458998,-0.828769,-0.8264012,193.0
O_{32.00967} K_{22.00204} Ti_{22.05049} Fe_{5.997606} Rb_{21.96218} Nb_{15.98874} Er_{10.02091} Lu_{14.96834} ,O_{32.0} K_{22.0} Ti_{22.0} Fe_{6.0} Rb_{22.0} Nb_{16.0} Er_{10.0} Lu_{15.0} ,23.41536,23.45597,-0.17132609,-0.17177163,145.0
H_{20.11887} Ni_{33.84192} Ga_{27.98620} In_{21.07375} La_{25.13884} Ho_{13.90136} Pt_{22.97319} Pb_{17.96584} ,H_{20.0} Ni_{34.0} Ga_{28.0} In_{21.0} La_{25.0} Ho_{14.0} Pt_{23.0} Pb_{18.0} ,23.4504,23.45406,-1.0573189,-1.0600426,183.0
B_{23.99190} C_{12.12778} Cr_{11.92187} Xe_{32.04436} La_{31.00200} Pt_{27.91206} ,B_{24.0} C_{12.0} Cr_{12.0} Xe_{32.0} La_{31.0} Pt_{28.0} ,23.469343,23.45333,-0.79682165,-0.80203366,139.0
H_{23.03085} B_{44.01129} Ca_{8.971416} Sr_{17.98428} Xe_{8.002906} La_{14.92616} Yb_{11.98852} Pt_{31.08455} ,H_{23.0} B_{44.0} Ca_{9.0} Sr_{18.0} Xe_{8.0} La_{15.0} Yb_{12.0} Pt_{31.0} ,23.332777,23.441004,-0.38246036,-0.38226172,160.0
C_{33.00626} N_{30.97251} K_{8.95102} Ag_{9.044429} Sn_{11.97408} La_{34.0062} Dy_{17.05370} Pt_{36.99179} ,C_{33.0} N_{31.0} K_{9.0} Ag_{9.0} Sn_{12.0} La_{34.0} Dy_{17.0} Pt_{37.0} ,23.360498,23.419317,-1.7940878,-1.7934237,182.0
B_{18.86960} C_{44.21785} Al_{3.039965} Ru_{40.02474} La_{12.92579} Pt_{36.92203} ,B_{19.0} C_{44.0} Al_{3.0} Ru_{40.0} La_{13.0} Pt_{37.0} ,23.399696,23.392603,-0.04190238,-0.04249578,156.0
B_{17.10501} C_{87.97316} Ar_{13.00310} V_{14.93119} La_{50.88366} Pt_{13.21168} Bi_{1.892174} ,B_{17.0} C_{88.0} Ar_{13.0} V_{15.0} La_{51.0} Pt_{13.0} Bi_{2.0} ,23.107136,23.382019,-1.236091,-1.2342274,199.0
B_{19.02553} C_{4.979876} V_{3.033454} Pd_{2.964787} Xe_{19.98013} La_{18.96742} Tb_{3.047132} Pt_{11.00166} ,B_{19.0} C_{5.0} V_{3.0} Pd_{3.0} Xe_{20.0} La_{19.0} Tb_{3.0} Pt_{11.0} ,23.237614,23.365177,-0.9654891,-0.96392375,83.0
C_{26.05744} N_{34.00218} Ni_{5.976614} Y_{13.99500} La_{32.98531} Pm_{26.95338} Hg_{17.05278} Tl_{17.97725} ,C_{26.0} N_{34.0} Ni_{6.0} Y_{14.0} La_{33.0} Pm_{27.0} Hg_{17.0} Tl_{18.0} ,23.328493,23.347063,-1.8597413,-1.8605229,175.0
H_{41.99979} C_{30.01570} Tc_{25.96840} La_{29.97649} Nd_{14.99449} Yb_{11.04124} Po_{33.00387} ,H_{42.0} C_{30.0} Tc_{26.0} La_{30.0} Nd_{15.0} Yb_{11.0} Po_{33.0} ,23.31872,23.34407,-0.7688187,-0.7682967,187.0
Be_{7.057542} C_{34.02414} N_{29.04886} La_{40.88709} Pm_{20.96334} Tb_{12.98041} Pt_{36.02415} Tl_{18.01447} ,Be_{7.0} C_{34.0} N_{29.0} La_{41.0} Pm_{21.0} Tb_{13.0} Pt_{36.0} Tl_{18.0} ,23.226686,23.33804,-1.8580759,-1.8578756,199.0
B_{21.02084} C_{94.04379} Mg_{18.97332} Ti_{11.98023} La_{15.92653} Eu_{20.99497} Pt_{7.06028} ,B_{21.0} C_{94.0} Mg_{19.0} Ti_{12.0} La_{16.0} Eu_{21.0} Pt_{7.0} ,23.270397,23.335,-1.2267841,-1.2257643,190.0
C_{46.98512} Co_{23.07743} Br_{21.07355} Mo_{11.08998} La_{35.92160} Tb_{25.92623} Pt_{31.92608} ,C_{47.0} Co_{23.0} Br_{21.0} Mo_{11.0} La_{36.0} Tb_{26.0} Pt_{32.0} ,23.269117,23.325624,-1.0847529,-1.081762,196.0
H_{18.06709} B_{17.94248} C_{57.02475} La_{27.01558} Pr_{5.991245} Tm_{8.935485} W_{15.02335} ,H_{18.0} B_{18.0} C_{57.0} La_{27.0} Pr_{6.0} Tm_{9.0} W_{15.0} ,23.215742,23.322884,-1.1580375,-1.1567457,150.0
B_{31.00546} C_{25.98106} Fe_{8.00916} Xe_{27.99075} La_{29.04188} Os_{1.951041} Pt_{3.020641} ,B_{31.0} C_{26.0} Fe_{8.0} Xe_{28.0} La_{29.0} Os_{2.0} Pt_{3.0} ,23.265776,23.322327,-1.2219554,-1.221949,127.0
N_{89.97568} Rb_{18.22464} Ho_{25.94145} Er_{40.85823} ,N_{90.0} Rb_{18.0} Ho_{26.0} Er_{41.0} ,23.379818,23.322319,-3.321755,-3.3185496,175.0
B_{44.96854} C_{30.94193} N_{17.99590} Al_{31.01270} Si_{10.00092} La_{33.05869} Eu_{29.02130} ,B_{45.0} C_{31.0} N_{18.0} Al_{31.0} Si_{10.0} La_{33.0} Eu_{29.0} ,23.283072,23.298903,-1.9581722,-1.9591026,197.0
Li_{31.95331} B_{25.01519} O_{24.99691} P_{25.04942} Y_{19.91346} Ru_{24.04614} Pt_{48.02555} ,Li_{32.0} B_{25.0} O_{25.0} P_{25.0} Y_{20.0} Ru_{24.0} Pt_{48.0} ,23.202707,23.288355,-0.5644293,-0.565673,199.0
H_{8.98979} B_{48.05193} Pd_{15.00751} La_{27.01609} Ho_{15.95491} Re_{21.9683} Bi_{16.01145} ,H_{9.0} B_{48.0} Pd_{15.0} La_{27.0} Ho_{16.0} Re_{22.0} Bi_{16.0} ,23.20812,23.259472,-1.0659468,-1.0651087,153.0
B_{29.99908} C_{33.95983} Ge_{17.01380} La_{31.03178} Pr_{11.9947} Yb_{30.04804} Pt_{30.95274} ,B_{30.0} C_{34.0} Ge_{17.0} La_{31.0} Pr_{12.0} Yb_{30.0} Pt_{31.0} ,23.212067,23.255033,-1.122749,-1.1230189,185.0
