Initial Optimized Composition,Rounded Optimized Composition,Rounded Optimized Tc,Initial Optimized Tc,Rounded Optimized Ef,Initial Optimized Ef,structure_atom_count
N_{31.00726} Ca_{26.04475} Pd_{17.01822} Ba_{25.99950} Yb_{15.98087} Pt_{60.94938} ,N_{31.0} Ca_{26.0} Pd_{17.0} Ba_{26.0} Yb_{16.0} Pt_{61.0} ,93.323235,93.355835,-1.0030717,-1.0037588,177.0
He_{42.96692} S_{19.03085} Cu_{62.97295} Rb_{8.995087} Ba_{27.05878} Ce_{13.92574} Au_{11.04965} ,He_{43.0} S_{19.0} Cu_{63.0} Rb_{9.0} Ba_{27.0} Ce_{14.0} Au_{11.0} ,93.19359,93.26829,-0.44756848,-0.44718504,186.0
N_{8.989752} O_{3.990262} Ca_{14.01784} Ni_{18.01953} Ga_{8.982997} Ba_{11.98464} Os_{3.990741} Pt_{5.024228} ,N_{9.0} O_{4.0} Ca_{14.0} Ni_{18.0} Ga_{9.0} Ba_{12.0} Os_{4.0} Pt_{5.0} ,93.13378,93.201866,-1.5651447,-1.5630224,75.0
B_{20.04423} Cu_{26.99760} Rb_{12.01600} Ba_{23.06996} Nd_{4.978826} Pt_{22.89337} ,B_{20.0} Cu_{27.0} Rb_{12.0} Ba_{23.0} Nd_{5.0} Pt_{23.0} ,92.94663,93.10963,-0.75490195,-0.7576323,110.0
Be_{11.99199} C_{19.01890} Ca_{22.01808} Cu_{48.99572} La_{38.97445} Pt_{6.000843} ,Be_{12.0} C_{19.0} Ca_{22.0} Cu_{49.0} La_{39.0} Pt_{6.0} ,92.91182,92.91263,-0.7731708,-0.77320427,147.0
Be_{16.97727} B_{1.995481} N_{8.986907} Ca_{5.034952} Ge_{18.03192} Xe_{13.00254} Ba_{18.01921} Pt_{35.95170} ,Be_{17.0} B_{2.0} N_{9.0} Ca_{5.0} Ge_{18.0} Xe_{13.0} Ba_{18.0} Pt_{36.0} ,92.677864,92.72791,-1.131743,-1.1327327,118.0
P_{15.02232} K_{15.97228} Ca_{21.07030} Ga_{43.95402} Ge_{11.97939} In_{31.92463} Ba_{23.14418} Pt_{22.93287} ,P_{15.0} K_{16.0} Ca_{21.0} Ga_{44.0} Ge_{12.0} In_{32.0} Ba_{23.0} Pt_{23.0} ,92.59605,92.57483,-1.3801167,-1.3834575,186.0
C_{15.02805} P_{27.10334} Ca_{31.90362} As_{26.97917} Sn_{17.01483} Ba_{22.95976} La_{11.06608} Pt_{39.94512} ,C_{15.0} P_{27.0} Ca_{32.0} As_{27.0} Sn_{17.0} Ba_{23.0} La_{11.0} Pt_{40.0} ,92.41961,92.56364,-1.24788,-1.2512957,192.0
B_{49.08574} Si_{6.954008} Ca_{20.01422} Ba_{16.99928} Pt_{29.94673} ,B_{49.0} Si_{7.0} Ca_{20.0} Ba_{17.0} Pt_{30.0} ,92.146065,92.089,-0.23031159,-0.22921522,123.0
B_{30.04393} N_{22.02327} Cu_{51.94025} Ba_{35.00805} Dy_{17.96803} Pt_{40.01643} ,B_{30.0} N_{22.0} Cu_{52.0} Ba_{35.0} Dy_{18.0} Pt_{40.0} ,91.85745,91.88275,-1.1941365,-1.1944641,197.0
