formula,atom_dict,valid_sample_bools,pred_Tc,pred_ef,Ef_bools,elecneg_bools,neutral_bools,all_True_bools
C21.0Ge14.0Sn20.0Te8.0Cs21.0Sm9.0Tb69.0Pt34.0,"{'C': 21.0, 'Cs': 21.0, 'Ge': 14.0, 'Pt': 34.0, 'Sm': 9.0, 'Sn': 20.0, 'Tb': 69.0, 'Te': 8.0}",True,19.373505,-1.2501403,True,True,True,True
B86.0C12.0Ar3.0Y21.0La33.0Pt12.0,"{'Ar': 3.0, 'B': 86.0, 'C': 12.0, 'La': 33.0, 'Pt': 12.0, 'Y': 21.0}",True,19.692778,-0.30102226,True,False,False,False
B19.0C30.0O30.0Al28.0K10.0Eu51.0Gd12.0Ho9.0,"{'Al': 28.0, 'B': 19.0, 'C': 30.0, 'Eu': 51.0, 'Gd': 12.0, 'Ho': 9.0, 'K': 10.0, 'O': 30.0}",True,19.616634,-2.2720673,True,False,False,False
B33.0N66.0La12.0Yb26.0Pt55.0,"{'B': 33.0, 'La': 12.0, 'N': 66.0, 'Pt': 55.0, 'Yb': 26.0}",True,19.584126,-1.1855092,True,True,True,True
H38.0O30.0As31.0Sn20.0La38.0Pt12.0Hg3.0,"{'As': 31.0, 'H': 38.0, 'Hg': 3.0, 'La': 38.0, 'O': 30.0, 'Pt': 12.0, 'Sn': 20.0}",True,19.59861,-1.8585547,True,False,True,False
B30.0C41.0La45.0W15.0Pt30.0Pb15.0,"{'B': 30.0, 'C': 41.0, 'La': 45.0, 'Pb': 15.0, 'Pt': 30.0, 'W': 15.0}",True,19.663628,-1.287047,True,False,False,False
H35.0B52.0N9.0Mg10.0Xe22.0La32.0Pt24.0Bi2.0,"{'B': 52.0, 'Bi': 2.0, 'H': 35.0, 'La': 32.0, 'Mg': 10.0, 'N': 9.0, 'Pt': 24.0, 'Xe': 22.0}",True,19.676712,-1.0798597,True,False,False,False
C28.0O18.0Na27.0P18.0Ba19.0Nd20.0Dy23.0Pt29.0,"{'Ba': 19.0, 'C': 28.0, 'Dy': 23.0, 'Na': 27.0, 'Nd': 20.0, 'O': 18.0, 'P': 18.0, 'Pt': 29.0}",True,19.553547,-2.0377483,True,True,True,True
He37.0B16.0C25.0Ar21.0Ge16.0La36.0Pm17.0Pt17.0,"{'Ar': 21.0, 'B': 16.0, 'C': 25.0, 'Ge': 16.0, 'He': 37.0, 'La': 36.0, 'Pm': 17.0, 'Pt': 17.0}",True,19.549412,-1.0487119,True,False,False,False
C36.0Na35.0Co13.0As43.0La35.0Tm23.0,"{'As': 43.0, 'C': 36.0, 'Co': 13.0, 'La': 35.0, 'Na': 35.0, 'Tm': 23.0}",True,19.53857,-1.447214,True,False,True,False
Li11.0B24.0Kr13.0Sb14.0Cs23.0Er30.0Yb1.0Re11.0,"{'B': 24.0, 'Cs': 23.0, 'Er': 30.0, 'Kr': 13.0, 'Li': 11.0, 'Re': 11.0, 'Sb': 14.0, 'Yb': 1.0}",True,19.573565,-0.8786217,True,False,False,False
